RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
0.8,3.74,3.74,0.5473006486383873,,,,0.8,2
0.85,2.55,2.55,0.06363961030678934,2.4844999999999997,3.2,0.5,0.85,2
0.92,2.777,2.777,,2.867,10.0,4.0,0.92,1
0.96,2.675,2.675,,,,,0.96,1
1.0,1.526,1.526,,1.544,0.0,18.0,1.0,1
1.2,4.633,4.633,,,,,1.2,1
1.23,2.51,2.51,,2.609,11.0,3.0,1.23,1
1.34,2.651,2.651,,2.745,10.0,4.0,1.34,1
1.36,1.92,1.92,,1.953,5.0,2.0,1.36,1
1.37,2.771,2.771,,2.837,11.0,12.0,1.37,1
1.38,2.469,2.469,,2.529,10.0,5.0,1.38,1
1.42,2.262,2.262,,2.273,0.0,2.0,1.42,1
1.45,2.418,2.418,,2.432,2.7,15.0,1.45,1
1.48,2.732,2.732,,2.791,10.0,8.0,1.48,1
1.5,3.7295,3.7295,1.1730901499884823,2.904,0.0,5.0,1.5,2
1.53,2.635,2.635,,,0.0,16.0,1.53,1
1.55,2.38,2.38,,2.386,0.0,14.0,1.55,1
1.59,2.631,2.631,,2.64,4.8,14.0,1.59,1
1.61,3.4062142857142854,2.8875,0.9417718308160856,2.8646666666666665,3.0,4.25,1.61,14
1.62,2.918,2.918,,,0.0,3.0,1.62,1
1.64,2.796,2.796,,2.96,22.0,8.0,1.64,1
1.66,2.922,2.922,,,0.0,32.0,1.66,1
1.67,2.6825,2.6825,0.22698127676088173,2.7275,7.0,10.5,1.67,2
1.68,2.552,2.552,,2.584,0.0,2.0,1.68,1
1.69,3.063,3.063,,,0.0,22.0,1.69,1
1.77,2.737666666666667,2.719,0.20364266088748045,2.6855,9.5,15.5,1.7700000000000002,3
1.78,2.799,2.799,,2.876,13.0,13.0,1.78,1
1.79,2.779,2.779,,2.835,12.0,11.0,1.79,1
1.8,2.8023333333333333,2.742,0.2081641980104486,2.873666666666667,12.0,19.333333333333332,1.8,3
1.81,2.727,2.727,0.41719300090006295,2.7794999999999996,4.4,12.5,1.81,2
1.85,2.394,2.394,,2.435,8.0,4.0,1.85,1
1.88,2.951,2.951,,3.032,15.0,21.0,1.88,1
1.98,4.369,4.369,,,0.0,12.0,1.98,1
2.05,4.37,4.37,,,0.0,11.0,2.05,1
2.06,2.979,2.979,,2.975,0.0,15.0,2.06,1
2.09,4.227,4.227,,,,,2.09,1
2.1,2.721,2.721,,2.795,13.0,10.0,2.1,1
2.12,2.65,2.65,,2.743,18.0,26.0,2.12,1
2.14,3.028,3.028,,3.017,0.0,25.0,2.14,1
2.15,2.819,2.819,,2.845,2.8,15.0,2.15,1
2.22,2.664,2.664,,2.667,0.0,9.0,2.22,1
2.24,2.882,2.882,,2.949,8.0,13.0,2.24,1
2.27,3.039,3.039,,2.744,11.8,10.0,2.27,1
2.28,1.314,1.314,,1.319,6.7,5.0,2.28,1
2.29,2.978,2.978,,2.987,6.9,32.0,2.29,1
2.36,2.768,2.768,,2.822,2.0,6.0,2.36,1
2.39,2.878,2.878,,2.988,21.0,26.0,2.39,1
2.41,2.7426000000000004,2.682,0.14826091865356825,2.80025,7.0,9.0,2.41,5
2.42,2.704,2.704,,2.748,12.0,20.0,2.42,1
2.43,2.641,2.641,,,0.0,6.0,2.43,1
2.46,2.773,2.773,,2.791,15.7,22.0,2.46,1
2.5,3.2306666666666666,2.767,0.8039604053268626,2.9935,35.0,15.0,2.5,3
2.53,2.804,2.804,,,0.0,3.0,2.53,1
2.54,2.5375,2.5375,0.12940054095713807,2.5895,12.0,11.5,2.54,2
2.57,2.861,2.861,,,,,2.57,1
2.58,2.869,2.869,,,,,2.58,1
2.62,2.866,2.866,,2.892,5.0,8.0,2.62,1
2.64,2.969,2.969,,2.973,12.1,27.0,2.64,1
2.72,3.01,3.01,,3.115,20.0,23.0,2.72,1
2.75,2.896,2.896,,2.995,20.0,24.0,2.75,1
2.76,2.8495,2.8495,0.09970205614730321,2.931,14.5,20.5,2.76,2
2.79,2.777,2.777,,2.795,8.0,21.0,2.79,1
