RouteID,Pace_min_per_mile_mean,Pace_min_per_mile_median,Pace_min_per_mile_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
0,9.23,9.23,,,21.4,99.0,5.24,1
1,10.28,10.28,,,8.3,60.0,4.78,1
2,8.93,8.93,,,9.9,70.0,5.41,1
3,9.620000000000001,9.620000000000001,0.7919595949289333,,27.75,72.5,7.1,2
4,9.5,9.5,,,37.2,120.0,8.46,1
5,8.92,8.92,,,49.0,163.0,9.14,1
6,9.17,9.17,,,78.0,213.0,15.11,1
7,9.37,9.37,,,14.6,89.0,6.62,1
8,9.86,9.86,,,84.1,118.0,10.34,1
9,10.38,10.38,,,11.3,21.0,4.29,1
10,8.821538461538463,8.99,0.5358769472221229,3.0028571428571427,76.6923076923077,131.3846153846154,10.613846153846152,13
11,9.524999999999999,9.524999999999999,0.7000357133746815,2.981,27.0,72.5,9.735,2
12,9.34,9.34,,,31.6,112.0,8.62,1
13,8.81,8.81,,,54.5,90.0,7.74,1
14,9.68,9.68,,,11.7,34.0,5.11,1
15,9.6,9.6,,,102.1,225.0,16.1,1
16,10.37,10.37,,,32.3,112.0,8.54,1
17,9.73,9.73,,,35.9,89.0,11.61,1
18,9.32,9.32,,,25.2,58.0,5.5,1
19,9.26,9.26,,,41.8,114.0,8.29,1
20,8.61,8.61,,,16.5,46.0,4.08,1
21,9.03,9.03,,,65.4,125.0,10.12,1
22,9.36,9.36,,,38.7,68.0,5.73,1
23,9.62,9.62,,,15.0,72.0,5.94,1
26,9.33,9.33,,,22.5,92.0,7.86,1
27,9.62,9.62,,,33.4,84.0,6.25,1
28,9.241666666666667,9.265,0.2385302217050628,2.976,24.46666666666667,48.833333333333336,5.993333333333333,6
29,10.05,10.05,,,7.7,81.0,5.93,1
30,10.68,10.68,,,40.0,107.0,6.51,1
31,9.97,9.97,,,8.5,63.0,5.94,1
32,10.34,10.34,,,46.6,107.0,11.54,1
33,9.34,9.34,,,111.5,166.0,11.46,1
34,9.17,9.17,,,20.6,40.0,5.62,1
35,11.02,11.02,,,23.7,76.0,6.98,1
36,10.4175,10.375,0.2276510487566446,2.6165000000000003,18.4,35.0,5.3425,4
37,10.17,10.17,0.014142135623730649,2.654,56.5,46.5,7.755,2
38,10.34,10.34,,,9.2,60.0,7.06,1
39,9.64,9.64,,,30.2,48.0,6.58,1
40,9.23,9.23,,,30.2,68.0,7.69,1
41,9.03,9.03,,,34.7,122.0,8.33,1
42,10.225,10.225,0.09192388155425048,2.611,9.399999999999999,32.0,6.77,2
